CITY OF EDINBURGH COUNCIL - Secondary School S1 Intake and Roll Projections 2019-2032,,,,,,,,,,,,,,,,,,,,,
08-Nov-18,,,,,,,,,,,,,,,,,,,"School 
Sheet names
Excluding not includedon other data set",,BALERNO
,,,,,,,,,,,,,,,,,,,,,BOROUGH
School,S1 Intake Limit,Notional Capacity,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,,,,BROUGHT
Balerno Community High School,160,850,S1 Intake,160,160,160,160,160,160,160,180,160,160,160,160,160,160,,,,CASTLEB
,,,Total Roll,764,815,844,865,887,907,907,927,927,927,927,925,921,907,,,,CMOUNT
Boroughmuir High School,200,"1,200",S1 Intake,240,253,271,292,277,260,289,280,331,276,276,277,280,280,,,,CROYSTON
,,,Total Roll,1294,1346,1405,1493,1545,1551,1598,1621,1679,1666,1667,1679,1670,1664,,,,CURRIE
Broughton High School,220,"1,200",S1 Intake,220,220,220,220,240,240,220,220,240,240,220,240,240,240,,,,DRUMM
,,,Total Roll,1131,1145,1153,1168,1206,1235,1235,1235,1252,1263,1246,1255,1272,1283,,,,FIRRH
Castlebrae Community High School,120,600,S1 Intake,79,98,109,114,138,140,117,107,119,135,148,145,152,157,,,,FORRES
,,,Total Roll,236,305,378,452,539,609,633,634,635,642,656,677,715,753,,,,GRACEM
Craigmount High School,260,"1,400",S1 Intake,233,244,238,260,260,256,260,260,260,260,260,260,260,260,,,,JAMESG
,,,Total Roll,1210,1266,1283,1339,1397,1423,1448,1464,1481,1481,1481,1485,1485,1485,,,,LEITH_A
Craigroyston Community High School,120,600,S1 Intake,112,117,112,109,120,115,120,120,137,132,152,140,140,140,,,,LIBERT
,,,Total Roll,561,580,593,609,632,632,639,644,670,689,722,746,764,777,,,,PORTOB
Currie Community High School,180,900,S1 Intake,142,150,151,169,154,171,172,180,180,174,180,180,180,180,,,,QUEENSF
,,,Total Roll,729,748,781,831,844,879,907,935,961,967,988,995,1001,1002,,,,THE_ROYAL
Drummond Community High School,120,600,S1 Intake,74,82,91,91,81,87,79,81,81,81,78,80,82,82,,,,TRINITY
,,,Total Roll,360,383,416,448,465,473,475,470,461,454,449,446,448,449,,,,TYNECA
Firrhill High School,220,"1,150",S1 Intake,240,219,220,220,220,220,220,216,212,220,196,215,218,220,,,,WHEC
,,,Total Roll,1222,1246,1255,1263,1264,1263,1248,1244,1236,1236,1212,1208,1208,1211,,,,
Forrester High School,180,900,S1 Intake,152,156,180,158,148,164,161,160,147,147,159,152,154,156,,,,
,,,Total Roll,715,745,790,817,813,828,827,824,807,796,799,790,788,791,,,,
Gracemount High School,120,650,S1 Intake,120,140,140,140,140,160,120,140,140,160,160,160,160,180,,,,
,,,Total Roll,608,637,664,694,718,759,750,750,750,766,782,799,830,866,,,,
Holy Rood RC High School,220,"1,200",S1 Intake,247,254,240,240,255,256,267,252,240,260,255,260,260,269,,,,
,,,Total Roll,1098,1161,1221,1258,1300,1337,1357,1361,1358,1371,1368,1371,1373,1390,,,,
James Gillespie's High School,220,"1,300",S1 Intake,255,280,300,293,280,340,319,320,295,270,257,280,280,280,,,,
,,,Total Roll,1347,1435,1539,1618,1660,1767,1832,1872,1867,1845,1823,1763,1723,1681,,,,
Leith Academy,180,950,S1 Intake,180,180,180,178,160,171,180,180,166,174,164,173,177,179,,,,
,,,Total Roll,910,932,958,984,985,987,987,988,976,976,976,975,973,976,,,,
Liberton High School,160,850,S1 Intake,139,171,173,180,200,216,200,231,238,231,220,234,236,239,,,,
,,,Total Roll,639,716,776,841,908,977,1022,1080,1137,1175,1191,1209,1229,1235,,,,
Portobello High School,260,"1,400",S1 Intake,280,260,260,260,260,280,260,260,260,260,260,260,260,260,,,,
,,,Total Roll,1418,1440,1462,1471,1471,1489,1475,1475,1475,1473,1469,1455,1455,1455,,,,
Queensferry Community High School,180,"1,000",S1 Intake,192,188,216,190,245,265,271,280,308,327,373,350,357,365,,,,
,,,Total Roll,907,957,1028,1062,1137,1228,1305,1392,1487,1607,1729,1812,1892,1968,,,,
St Augustine's RC High School,180,900,S1 Intake,170,188,145,187,187,200,180,190,196,188,198,199,200,207,,,,
,,,Total Roll,777,844,863,921,955,980,989,1004,1037,1036,1045,1050,1065,1080,,,,
St Thomas of Aquin's RC High School,140,750,S1 Intake,156,160,140,160,140,175,140,155,140,140,140,140,140,155,,,,
,,,Total Roll,794,823,825,848,848,880,864,862,859,841,836,808,806,809,,,,
The Royal High School,220,"1,200",S1 Intake,240,260,220,260,260,280,260,260,260,240,240,260,260,260,,,,
,,,Total Roll,1288,1325,1327,1368,1410,1467,1485,1491,1524,1503,1480,1464,1464,1464,,,,
Trinity Academy,180,950,S1 Intake,170,177,180,180,180,180,180,180,180,175,180,180,180,180,,,,
,,,Total Roll,851,873,912,938,969,991,998,1001,1001,996,996,996,996,996,,,,
Tynecastle High School,180,900,S1 Intake,111,127,126,136,139,146,140,134,136,134,122,135,138,129,,,,
,,,Total Roll,606,637,654,670,690,706,728,733,738,733,713,707,707,702,,,,
Wester Hailes Education Centre,140,750,S1 Intake,77,80,89,78,80,90,75,71,67,66,69,67,69,70,,,,
,,,Total Roll,347,368,396,412,421,432,425,414,398,382,370,356,353,355,,,,
TOTAL,"4,160","22,200",S1 Intake,"3,989","4,164","4,161","4,275","4,324","4,572","4,390","4,457","4,493","4,450","5,676","4,637","6,215","4,595",,,,
,,,Total Roll,"19,812","20,727","21,523","22,370","23,064","23,800","24,134","24,421","24,716","24,825","24,925","24,971","25,138","25,299",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
All Schools Roll Projection by Stage ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,S1,S2,S3,S4,S5,S6,Total,,,,,,,,,,,,,,
2019,"3,989","3,739","3,524","3,329","2,995","2,236","19,812",,,,,,,,,,,,,,
2020,"4,164","3,989","3,739","3,524","2,975","2,336","20,727",,,,,,,,,,,,,,
2021,"4,161","4,164","3,989","3,739","3,137","2,333","21,523",,,,,,,,,,,,,,
2022,"4,275","4,161","4,164","3,989","3,325","2,456","22,370",,,,,,,,,,,,,,
2023,"4,324","4,275","4,161","4,164","3,547","2,593","23,064",,,,,,,,,,,,,,
2024,"4,572","4,324","4,275","4,161","3,699","2,769","23,800",,,,,,,,,,,,,,
2025,"4,390","4,572","4,324","4,275","3,689","2,884","24,134",,,,,,,,,,,,,,
2026,"4,457","4,390","4,572","4,324","3,799","2,879","24,421",,,,,,,,,,,,,,
2027,"4,493","4,457","4,390","4,572","3,835","2,969","24,716",,,,,,,,,,,,,,
2028,"4,450","4,493","4,457","4,390","4,051","2,984","24,825",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
All Schools Catchment Projection by Stage ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,S1,S2,S3,S4,S5,S6,Total,,,,,,,,,,,,,,
2019,"4,580","4,489","4,476","4,383","4,341","4,267","26,536",,,,,,,,,,,,,,
2020,"4,499","4,574","4,435","4,454","4,374","4,266","26,602",,,,,,,,,,,,,,
2021,"4,381","4,495","4,519","4,417","4,443","4,301","26,556",,,,,,,,,,,,,,
2022,"4,341","4,380","4,445","4,501","4,409","4,367","26,443",,,,,,,,,,,,,,
2023,"4,440","4,344","4,328","4,432","4,493","4,338","26,375",,,,,,,,,,,,,,
2024,"4,505","4,439","4,296","4,314","4,425","4,423","26,402",,,,,,,,,,,,,,
2025,"4,560","4,504","4,388","4,284","4,307","4,355","26,398",,,,,,,,,,,,,,
2026,"4,602","4,558","4,453","4,373","4,282","4,237","26,505",,,,,,,,,,,,,,
2027,"4,631","4,600","4,506","4,438","4,366","4,217","26,758",,,,,,,,,,,,,,
2028,"4,653","4,629","4,548","4,492","4,432","4,296","27,050",,,,,,,,,,,,,,
